client,mw,sharded,ratio,latency,weight
1,2,true,1:6,29,1.730000000000004
1,2,true,1:6,30,1.6400000000000006
1,2,true,1:6,31,1.4999999999999858
1,2,true,1:6,32,1.5000000000000142
1,2,true,1:6,33,1.4500000000000028
1,2,true,1:6,34,1.319999999999979
1,2,true,1:6,35,1.4800000000000182
1,2,true,1:6,36,1.269999999999996
1,2,true,1:6,37,1.4300000000000068
1,2,true,1:6,38,1.3299999999999983
1,2,true,1:6,39,1.4299999999999926
1,2,true,1:6,40,1.5900000000000034
1,2,true,1:6,41,1.5700000000000074
1,2,true,1:6,42,1.4599999999999937
1,2,true,1:6,43,1.5400000000000063
1,2,true,1:6,44,1.5699999999999932
1,2,true,1:6,45,1.7000000000000028
1,2,true,1:6,46,1.730000000000004
1,2,true,1:6,47,1.8699999999999903
1,2,true,1:6,48,1.7999999999999972
1,2,true,1:6,49,1.7600000000000193
1,2,true,1:6,50,1.6499999999999915
1,2,true,1:6,51,1.4899999999999949
1,2,true,1:6,52,1.3000000000000114
1,2,true,1:6,53,1.1899999999999977
1,2,true,1:6,54,1.029999999999987
1,2,true,1:6,55,0.8100000000000023
1,2,true,1:6,56,0.6599999999999966
1,2,true,1:6,57,0.6200000000000045
1,2,true,1:6,58,0.5400000000000063
1,2,true,1:6,59,0.46999999999999886
1,2,true,1:6,60,0.47999999999998977
1,2,true,1:6,61,0.4200000000000017
1,2,true,1:6,62,0.39000000000000057
1,2,true,1:6,63,0.35999999999999943
1,2,true,1:6,64,0.3200000000000074
1,2,true,1:6,65,0.3299999999999841
1,2,true,1:6,66,0.3100000000000165
1,2,true,1:6,67,0.3100000000000023
1,2,true,1:6,68,0.30999999999998806
1,2,true,1:6,69,0.29999999999999716
1,2,true,1:6,70,0.2500000000000142
